sold,days,discount,price,r2M,MonthList,MonthSold,NumList,NumPC,NumSold
0,21,0.0,789000,1.41,5,0,1,0,0
0,74,3.5999999999999943,1299000,2.32,3,0,1,2,2
0,19,1.2000000000000028,849000,1.52,5,0,2,2,0
0,61,0.0,699888,1.25,4,0,5,8,2
0,75,0.0,699900,1.25,4,0,1,0,0
0,60,4.5,849000,1.52,4,0,2,1,0
0,49,2.700000000000003,650000,1.16,4,0,2,3,2
0,57,0.0,929000,1.66,4,0,3,2,1
0,79,0.0,699999,1.25,4,0,2,1,0
0,11,4.400000000000006,649000,1.16,4,0,2,2,0
0,15,0.0,729000,1.3,6,0,2,1,1
0,99,6.900000000000006,679000,1.21,2,0,1,3,2
0,63,14.0,858000,1.53,4,0,1,3,1
0,23,0.0,889000,1.17,5,0,1,0,1
0,42,0.0,5495000,7.23,5,0,4,0,2
0,10,0.0,929000,1.22,6,0,2,3,2
0,29,0.0,539000,0.71,5,0,2,0,1
0,16,6.900000000000006,538000,0.71,5,0,1,1,0
0,16,0.0,879000,1.16,6,0,2,0,1
0,41,5.0,949000,1.25,4,0,2,1,2
0,50,0.0,1495000,1.97,5,0,2,0,0
0,30,0.0,1399000,1.84,5,0,1,0,1
0,33,4.599999999999994,1038880,1.37,5,0,1,2,1
0,56,0.0,1898000,2.5,4,0,1,0,0
0,15,0.0,1299000,1.71,6,0,1,0,0
0,93,8.700000000000003,1095000,1.44,2,0,2,3,0
0,58,8.599999999999994,950000,1.25,2,0,1,1,0
0,164,12.299999999999997,1425000,1.88,10,0,1,1,0
0,189,7.599999999999994,2399000,2.67,10,0,1,2,1
0,8,0.0,1050000,1.1,6,0,1,0,0
0,10,0.0,2100000,2.2,6,0,2,2,0
0,21,2.299999999999997,860000,0.9,4,0,1,1,3
0,31,0.0,1498000,1.57,5,0,1,0,1
0,66,11.799999999999997,705000,0.74,3,0,1,2,0
0,36,0.0,1525000,1.6,5,0,2,6,0
0,26,6.099999999999994,1150000,1.2,4,0,2,1,1
0,57,5.700000000000003,1599000,1.67,3,0,2,4,1
0,36,0.0,1388000,1.45,5,0,1,0,1
0,107,19.400000000000006,998000,1.05,2,0,1,2,1
0,55,1.5,1399000,1.46,4,0,1,1,1
0,68,11.700000000000003,1049000,1.1,3,0,3,5,1
0,146,0.0,1098000,1.15,1,0,3,1,1
0,28,0.0,2199000,2.3,5,0,4,1,0
0,142,0.0,1098000,1.15,1,0,5,0,0
0,225,10.200000000000003,1525000,1.6,10,0,2,3,1
